Year,Location,Heat Wave,Dry Spell,Cold Wave,Wet Spell,Avg Min Temp °C,Yr Rain mm,Irrigation,Crop Type,Crop Damage,Yield
1991,0,0.0,0.0,0.0,0.0,20.7,1139.14,1.0,1,0.0,1340.09
1992,2,0.0,0.0,0.0,0.0,23.7,805.31,1.0,2,0.0,1745.02
1992,1,0.0,0.0,0.0,0.0,21.6,1316.94,0.0,0,0.0,792.72
1992,0,0.0,0.0,0.0,0.0,20.9,1190.53,1.0,0,0.0,947.88
1993,2,0.0,0.0,0.0,0.0,23.9,831.17,1.0,1,0.0,1449.81
1993,1,0.0,0.0,0.0,0.0,21.6,1426.71,0.0,2,0.0,1492.25
1993,0,0.0,0.0,0.0,0.0,20.8,1103.48,1.0,1,0.0,1345.17
1994,2,1.0,1.0,0.0,0.0,23.9,822.27,1.0,1,0.0,1450.2
1994,1,0.0,0.0,0.0,0.0,21.9,1542.95,0.0,0,0.0,789.49
1994,0,0.0,0.0,0.0,0.0,20.8,1210.0,1.0,2,0.0,1643.17
1995,2,0.0,0.0,0.0,0.0,23.7,715.06,1.0,2,0.0,1744.66
1995,1,0.0,0.0,0.0,0.0,21.5,1558.98,0.0,2,0.0,1493.1
1995,0,0.0,0.0,0.0,0.0,21.2,1146.72,1.0,2,0.0,1659.81
1996,0,0.0,0.0,0.0,0.0,21.0,1128.26,1.0,1,0.0,1353.17
1996,2,0.0,1.0,0.0,0.0,24.0,780.96,1.0,2,0.0,1752.07
1996,1,0.0,0.0,0.0,0.0,21.8,1561.34,0.0,1,0.0,1190.46
1997,0,0.0,0.0,0.0,1.0,21.0,1211.31,1.0,2,0.0,1651.88
1997,2,0.0,0.0,0.0,0.0,23.9,858.08,1.0,0,0.0,1049.17
1997,1,0.0,0.0,0.0,1.0,21.8,1706.47,0.0,0,0.0,790.33
1998,0,0.0,0.0,0.0,0.0,21.78,1209.48,1.0,0,0.0,959.39
1998,2,0.0,0.0,0.0,0.0,21.78,827.86,1.0,1,0.0,1445.03
1998,1,0.0,0.0,0.0,0.0,21.78,1448.54,0.0,0,0.0,790.44
1999,2,0.0,0.0,0.0,1.0,21.78,900.54,1.0,0,0.0,1045.95
1999,1,0.0,0.0,0.0,1.0,21.78,1589.79,0.0,0,0.0,791.39
1999,0,1.0,1.0,0.0,0.0,21.78,1118.52,1.0,2,0.0,1667.22
2000,1,0.0,0.0,0.0,1.0,21.78,1616.63,0.0,0,1.0,779.79
2000,2,0.0,0.0,0.0,1.0,21.78,952.52,1.0,0,0.0,1047.18
2000,0,1.0,1.0,0.0,0.0,21.78,1180.97,1.0,2,0.0,1663.56
2001,1,0.0,0.0,0.0,1.0,21.78,1657.42,0.0,0,0.0,786.93
2001,2,0.0,0.0,0.0,1.0,21.78,937.94,1.0,1,0.0,1445.44
2001,0,0.0,0.0,0.0,1.0,21.78,1219.44,1.0,2,0.0,1660.57
2002,0,0.0,0.0,0.0,1.0,21.78,1310.96,1.0,0,0.0,953.94
2002,1,0.0,1.0,0.0,0.0,21.78,1379.01,0.0,1,0.0,1186.93
2002,2,1.0,0.0,0.0,1.0,21.78,909.31,1.0,1,0.0,1461.93
2003,2,1.0,1.0,0.0,0.0,21.78,863.54,1.0,1,0.0,1451.05
2003,0,1.0,0.0,0.0,1.0,21.78,1239.26,1.0,1,0.0,1373.34
2003,1,0.0,1.0,0.0,0.0,21.78,1557.41,0.0,2,1.0,1484.66
2004,1,0.0,0.0,0.0,1.0,21.78,1776.62,0.0,0,0.0,786.32
2004,2,1.0,0.0,0.0,1.0,21.78,931.01,1.0,2,0.0,1758.04
2004,0,1.0,0.0,0.0,1.0,21.78,1362.0,1.0,1,0.0,1363.3
2005,0,1.0,0.0,0.0,1.0,21.78,1286.71,1.0,1,0.0,1365.0
2005,1,0.0,0.0,0.0,1.0,21.78,1669.74,0.0,1,0.0,1188.97
2005,2,1.0,0.0,0.0,1.0,21.78,1050.0,1.0,1,0.0,1458.21
2006,0,1.0,0.0,0.0,1.0,21.78,1280.8,1.0,0,0.0,972.5
2006,2,1.0,0.0,0.0,1.0,21.78,973.86,1.0,0,0.0,1061.09
2006,1,0.0,0.0,0.0,1.0,21.78,1872.93,0.0,2,1.0,1485.96
2007,0,1.0,0.0,0.0,1.0,21.78,1444.12,1.0,0,0.0,975.83
2007,1,0.0,0.0,0.0,1.0,21.78,1695.36,0.0,2,0.0,1487.5
2007,2,1.0,0.0,0.0,1.0,21.78,1028.29,1.0,2,0.0,1761.07
2008,2,1.0,0.0,0.0,1.0,21.78,913.88,1.0,2,0.0,1762.15
2008,1,0.0,0.0,0.0,1.0,21.78,1842.64,0.0,1,1.0,1184.65
2008,0,1.0,0.0,0.0,1.0,21.78,1434.63,1.0,0,0.0,969.27
2009,2,1.0,0.0,0.0,1.0,21.78,1076.79,1.0,1,0.0,1459.78
2009,1,0.0,0.0,0.0,1.0,21.78,1868.63,0.0,1,1.0,1183.78
2009,0,1.0,0.0,0.0,1.0,21.78,1383.94,1.0,2,0.0,1688.53
2010,2,1.0,0.0,0.0,1.0,21.78,1024.75,1.0,0,0.0,1065.04
2010,1,0.0,0.0,0.0,1.0,21.78,1735.02,0.0,0,0.0,782.33
2010,0,1.0,0.0,0.0,1.0,21.78,1419.4,1.0,0,0.0,987.7
2011,2,1.0,0.0,0.0,1.0,21.78,1129.73,1.0,2,0.0,1765.22
2011,1,0.0,0.0,0.0,1.0,21.78,1851.33,0.0,2,1.0,1480.19
2011,0,1.0,0.0,0.0,1.0,21.78,1563.53,1.0,2,0.0,1693.9
2012,0,1.0,0.0,0.0,1.0,21.78,1533.48,1.0,2,0.0,1679.84
2012,2,1.0,0.0,0.0,1.0,21.78,1094.19,1.0,1,0.0,1465.99
2012,1,0.0,0.0,0.0,1.0,21.78,1782.68,0.0,2,1.0,1478.56
2013,1,0.0,0.0,0.0,1.0,21.78,1845.09,0.0,1,1.0,1180.52
2013,2,1.0,0.0,0.0,1.0,21.78,1105.08,1.0,0,0.0,1066.84
2013,0,1.0,0.0,0.0,1.0,21.78,1450.26,1.0,1,0.0,1386.75
2014,2,1.0,0.0,0.0,1.0,21.78,1172.69,1.0,0,0.0,1071.36
2014,1,0.0,0.0,0.0,1.0,21.78,2067.68,0.0,0,1.0,784.93
2014,0,1.0,0.0,0.0,1.0,21.78,1551.13,1.0,1,0.0,1391.81
2015,2,1.0,0.0,0.0,1.0,21.78,1082.65,1.0,2,0.0,1774.11
2015,1,0.0,0.0,0.0,1.0,21.78,2010.63,0.0,1,1.0,1182.52
2015,0,1.0,0.0,0.0,1.0,21.78,1546.82,1.0,0,0.0,1008.98
2016,0,1.0,0.0,0.0,1.0,21.78,1471.54,1.0,1,0.0,1407.36
2016,2,1.0,0.0,0.0,1.0,21.78,1166.51,1.0,1,0.0,1460.52
2016,1,0.0,0.0,0.0,1.0,21.78,2042.77,0.0,0,1.0,772.05
2017,0,1.0,0.0,0.0,1.0,21.78,1443.46,1.0,2,0.0,1698.06
2017,1,0.0,0.0,0.0,1.0,21.78,1761.59,0.0,0,1.0,772.43
2017,2,1.0,0.0,0.0,1.0,21.78,1150.4,1.0,2,0.0,1772.61
2018,2,1.0,0.0,0.0,1.0,21.78,1194.61,1.0,1,0.0,1474.72
2018,0,1.0,0.0,0.0,1.0,21.78,1695.8,1.0,1,0.0,1388.0
2018,1,0.0,0.0,0.0,1.0,21.78,1842.32,0.0,1,1.0,1180.34
2019,1,0.0,0.0,0.0,1.0,21.78,1904.86,0.0,0,1.0,768.5
2019,0,1.0,0.0,0.0,1.0,21.78,1570.74,1.0,0,0.0,994.37
2019,2,1.0,0.0,0.0,1.0,21.78,1166.17,1.0,2,0.0,1771.76
